Entrez Gene ID,Gene Symbol,Gene Name,Original Symbol,
1,7168,TPM1,tropomyosin 1,7168
2,1281,COL3A1,collagen type III alpha 1 chain,1281
3,5764,PTN,pleiotrophin,5764
4,7045,TGFBI,transforming growth factor beta induced,7045
5,10631,POSTN,periostin,10631
6,1289,COL5A1,collagen type V alpha 1 chain,1289
7,6282,S100A11,S100 calcium binding protein A11,6282
8,1291,COL6A1,collagen type VI alpha 1 chain,1291
9,1292,COL6A2,collagen type VI alpha 2 chain,1292
10,2316,FLNA,filamin A,2316
11,1293,COL6A3,collagen type VI alpha 3 chain,1293
12,1805,DPT,dermatopontin,1805
13,9358,ITGBL1,integrin subunit beta like 1,9358
14,4239,MFAP4,microfibril associated protein 4,4239
15,1295,COL8A1,collagen type VIII alpha 1 chain,1295
16,2191,FAP,fibroblast activation protein alpha,2191
17,2192,FBLN1,fibulin 1,2192
18,1296,COL8A2,collagen type VIII alpha 2 chain,1296
19,8082,SSPN,sarcospan,8082
20,7058,THBS2,thrombospondin 2,7058
21,4627,MYH9,myosin heavy chain 9,4627
22,1303,COL12A1,collagen type XII alpha 1 chain,1303
23,2200,FBN1,fibrillin 1,2200
24,1307,COL16A1,collagen type XVI alpha 1 chain,1307
25,5789,PTPRD,protein tyrosine phosphatase receptor type D,5789
26,10398,MYL9,myosin light chain 9,10398
27,7070,THY1,Thy-1 cell surface antigen,7070
28,2335,FN1,fibronectin 1,2335
29,1311,COMP,cartilage oligomeric matrix protein,1311
30,3490,IGFBP7,insulin like growth factor binding protein 7,3490
31,677,ZFP36L1,ZFP36 ring finger protein like 1,677
32,4008,LMO7,LIM domain 7,4008
33,6696,SPP1,secreted phosphoprotein 1,6696
34,4267,CD99,CD99 molecule (Xg blood group),4267
35,301,ANXA1,annexin A1,301
36,302,ANXA2,annexin A2,302
37,8496,PPFIBP1,PPFIA binding protein 1,8496
38,1462,VCAN,versican,1462
39,4035,LRP1,LDL receptor related protein 1,4035
40,967,CD63,CD63 molecule,967
41,84168,ANTXR1,ANTXR cell adhesion molecule 1,84168
42,151887,CCDC80,coiled-coil domain containing 80,151887
43,7373,COL14A1,collagen type XIV alpha 1 chain,7373
44,8404,SPARCL1,SPARC like 1,8404
45,3671,ISLR,immunoglobulin superfamily containing leucine rich repeat,3671
46,10457,GPNMB,glycoprotein nmb,10457
47,4958,OMD,osteomodulin,4958
48,3682,ITGAE,integrin subunit alpha E,3682
49,4323,MMP14,matrix metallopeptidase 14,4323
50,8038,ADAM12,ADAM metallopeptidase domain 12,8038
51,11117,EMILIN1,elastin microfibril interfacer 1,11117
52,3693,ITGB5,integrin subunit beta 5,3693
53,1009,CDH11,cadherin 11,1009
54,6387,CXCL12,C-X-C motif chemokine ligand 12,6387
55,3956,LGALS1,galectin 1,3956
56,3958,LGALS3,galectin 3,3958
57,25975,EGFL6,EGF like domain multiple 6,25975
58,3959,LGALS3BP,galectin 3 binding protein,3959
59,5500,PPP1CB,protein phosphatase 1 catalytic subunit beta,5500
60,1277,COL1A1,collagen type I alpha 1 chain,1277
,,,,
