Gene ID,Symbol,Name
1,A1BG,alpha-1-B glycoprotein
2,A2M,alpha-2-macroglobulin
79875,THSD4,thrombospondin type 1 domain containing 4
7177,TPSAB1,tryptase alpha/beta 1
171019,ADAMTS19,ADAM metallopeptidase with thrombospondin type 1 motif 19
79883,PODNL1,podocan like 1
12,SERPINA3,serpin family A member 3
7184,HSP90B1,heat shock protein 90 beta family member 1
8214,DGCR6,DiGeorge syndrome critical region gene 6
136227,COL26A1,collagen type XXVI alpha 1 chain
5155,PDGFB,platelet derived growth factor subunit B
441381,LRRC24,leucine rich repeat containing 24
43,ACHE,acetylcholinesterase (Cartwright blood group)
4146,MATN1,matrilin 1
1075,CTSC,cathepsin C
4147,MATN2,matrilin 2
4148,MATN3,matrilin 3
5176,SERPINF1,serpin family F member 1
4153,MBL2,mannose binding lectin 2
129080,EMID1,EMI domain containing 1
84034,EMILIN2,elastin microfibril interfacer 2
60484,HAPLN2,hyaluronan and proteoglycan link protein 2
118856,MMP21,matrix metallopeptidase 21
90187,EMILIN3,elastin microfibril interfacer 3
5196,PF4,platelet factor 4
1101,CHAD,chondroadherin
645191,LINGO3,leucine rich repeat and Ig domain containing 3
5199,CFP,complement factor properdin
10319,LAMC3,laminin subunit gamma 3
60495,HPSE2,heparanase 2 (inactive)
131149,OTOL1,otolin 1
256076,COL6A5,collagen type VI alpha 5 chain
10321,CRISP3,cysteine rich secretory protein 3
169044,COL22A1,collagen type XXII alpha 1 chain
4185,ADAM11,ADAM metallopeptidase domain 11
54361,WNT4,Wnt family member 4
60506,NYX,nyctalopin
1116,CHI3L1,chitinase 3 like 1
5212,VIT,vitrin
4192,MDK,midkine
9313,MMP20,matrix metallopeptidase 20
2147,F2,"coagulation factor II, thrombin"
8292,COLQ,collagen like tail subunit of asymmetric acetylcholinesterase
23654,PLXNB2,plexin B2
102,ADAM10,ADAM metallopeptidase domain 10
2152,F3,"coagulation factor III, tissue factor"
2155,F7,coagulation factor VII
114794,ELFN2,extracellular leucine rich repeat and fibronectin type III domain containing 2
2158,F9,coagulation factor IX
2161,F12,coagulation factor XII
2162,F13A1,coagulation factor XIII A chain
79987,SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"
23671,TMEFF2,transmembrane protein with EGF like and two follistatin like domains 2
6274,S100A3,S100 calcium binding protein A3
6275,S100A4,S100 calcium binding protein A4
81029,WNT5B,Wnt family member 5B
6277,S100A6,S100 calcium binding protein A6
6278,S100A7,S100 calcium binding protein A7
6279,S100A8,S100 calcium binding protein A8
6280,S100A9,S100 calcium binding protein A9
6281,S100A10,S100 calcium binding protein A10
9353,SLIT2,slit guidance ligand 2
78987,CRELD1,cysteine rich with EGF like domains 1
81035,COLEC12,collectin subfamily member 12
